requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ranking,quartile
Breeding,9.0,1,CIAT-BR-02-1752,Urochloa interespecific,Grass,13.98,14.61,33.83,67.39,1,Q1
Breeding,8.0,1,CIAT-BR-09-1232,Urochloa interespecific,Grass,13.76,14.37,36.04,66.64,2,Q1
Breeding,9.0,1,CIAT-BR-12-4951,Urochloa interespecific,Grass,14.34,15.02,35.76,65.93,3,Q1
Breeding,9.0,1,CIAT-Mulato-II,Urochloa interespecific,Grass,14.21,14.64,34.27,65.32,4,Q1
Breeding,9.0,2,CIAT-BR-12-1362,Urochloa interespecific,Grass,11.96,13.75,36.67,64.41,5,Q1
Breeding,8.0,1,CIAT-BR-06-0423,Urochloa interespecific,Grass,14.61,15.14,35.98,64.27,6,Q1
Breeding,9.0,1,CIAT-BR-02-1794,Urochloa interespecific,Grass,13.79,14.51,35.77,63.97,7,Q1
Breeding,9.0,1,CIAT-BR-19-0423,Urochloa interespecific,Grass,13.93,14.41,37.16,63.48,8,Q1
Breeding,8.0,1,CIAT-PM-21-3537,Megathyrsus maximus,Grass,17.0,19.23,52.93,62.32,9,Q1
Breeding,8.0,1,CIAT-BR-19-0029,Urochloa interespecific,Grass,13.94,14.87,38.23,62.0,10,Q1
Breeding,9.0,2,CIAT-BR-12-0461,Urochloa interespecific,Grass,12.52,14.27,37.7,61.59,11,Q1
Breeding,8.0,1,CIAT-BR-15-6487,Urochloa interespecific,Grass,14.01,14.41,36.06,61.15,12,Q1
Breeding,9.0,1,CIAT-BR-15-0722,Urochloa interespecific,Grass,14.28,14.74,36.15,60.89,13,Q1
Breeding,9.0,2,CIAT-PM-21-2580,Megathyrsus maximus,Grass,13.72,15.38,42.58,60.3,14,Q1
Breeding,9.0,2,CIAT-BR-12-1620,Urochloa interespecific,Grass,12.4,13.92,36.04,60.13,15,Q1
Breeding,9.0,2,CIAT-BR-12-0255,Urochloa interespecific,Grass,12.31,13.96,37.48,60.12,16,Q1
Breeding,9.0,1,CIAT-PM-21-6628,Megathyrsus maximus,Grass,17.23,19.34,49.84,60.12,17,Q1
Breeding,9.0,1,CIAT-BH-16-3249,Urochloa humidicola,Grass,16.17,18.16,55.41,59.07,18,Q1
Breeding,9.0,1,CIAT-PM-21-3522,Megathyrsus maximus,Grass,14.39,15.89,41.34,58.99,19,Q1
Breeding,9.0,2,CIAT-PM-21-6106,Megathyrsus maximus,Grass,14.51,16.02,40.45,58.82,20,Q1
Breeding,9.0,1,CIAT-BH-16-B-0741,Urochloa humidicola,Grass,16.41,18.67,53.66,58.82,21,Q1
Breeding,8.0,1,CIAT-PM-21-3670,Megathyrsus maximus,Grass,16.51,18.79,48.38,58.76,22,Q1
Benchmark,6.0,3,CIAT-36087-MulatoII-Exc,Urochloa interespecific,Grass,13.38,14.5,48.27,58.75,23,Q1
Breeding,9.0,1,CIAT-PM-21-3534,Megathyrsus maximus,Grass,17.12,18.84,50.14,58.31,24,Q1
Breeding,9.0,1,CIAT-BH-08-1149,Urochloa humidicola,Grass,16.71,18.65,55.06,58.29,25,Q1
Breeding,7.0,1,CIAT-PM-21-3545,Megathyrsus maximus,Grass,16.87,18.98,51.18,58.21,26,Q1
Breeding,9.0,2,CIAT-BR-12-1889,Urochloa interespecific,Grass,11.64,14.03,36.64,57.99,27,Q1
Breeding,9.0,1,CIAT-BH-16-B-1194,Urochloa humidicola,Grass,15.93,17.98,56.09,57.89,28,Q1
Breeding,9.0,1,CIAT-BH-16-B-0733,Urochloa humidicola,Grass,16.61,18.55,54.65,57.87,29,Q1
Breeding,6.0,2,CIAT-PM-21-3662,Megathyrsus maximus,Grass,13.7,15.27,40.94,57.71,30,Q1
Breeding,9.0,2,CIAT-BR-15-2558,Urochloa interespecific,Grass,12.19,13.73,38.25,57.33,31,Q1
Breeding,9.0,1,CIAT-PM-21-0631,Megathyrsus maximus,Grass,14.13,15.82,43.25,57.12,32,Q1
Breeding,9.0,1,CIAT-BH-16-B-1707,Urochloa humidicola,Grass,15.83,17.95,58.33,56.99,33,Q1
Breeding,9.0,2,CIAT-BR-15-2811,Urochloa interespecific,Grass,11.99,13.19,36.8,56.83,34,Q1
Benchmark,9.0,3,CIAT-606-Basilisk-Exc,Urochloa interespecific,Grass,13.33,14.44,52.25,56.72,35,Q1
Breeding,9.0,1,CIAT-BH-16-0550,Urochloa humidicola,Grass,16.28,18.26,58.06,56.56,36,Q1
Breeding,9.0,1,CIAT-CIAT-6962,Megathyrsus maximus,Grass,14.82,15.87,40.73,56.51,37,Q1
Breeding,8.0,1,CIAT-BH-16-0562,Urochloa humidicola,Grass,15.85,18.02,57.88,56.42,38,Q1
Breeding,9.0,2,CIAT-BR-12-2462,Urochloa interespecific,Grass,12.94,13.07,35.78,56.21,39,Q1
Breeding,9.0,2,CIAT-BR-12-4039,Urochloa interespecific,Grass,12.23,14.28,38.13,56.17,40,Q1
Breeding,9.0,1,CIAT-BH-16-B-1618,Urochloa humidicola,Grass,16.37,17.53,49.87,55.96,41,Q1
